filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs-bw=19_write.json,numjobs-bw,write,64k,19,0.0,88.99,0.0,5561.97,0.0,0.0,13436.6,45350.91,8.7,10.8,19.5
test_numjobs-bw=20_read.json,numjobs-bw,read,64k,20,133.03,0.0,8314.66,0.0,9474.64,45875.2,0.0,0.0,2.44,14.98,17.42
test_numjobs-bw=20_write.json,numjobs-bw,write,64k,20,0.0,89.6,0.0,5599.78,0.0,0.0,14058.28,46399.49,8.38,10.29,18.67
test_numjobs-bw=21_read.json,numjobs-bw,read,64k,21,132.35,0.0,8272.0,0.0,9999.7,46399.49,0.0,0.0,2.27,14.32,16.59
test_numjobs-bw=21_write.json,numjobs-bw,write,64k,21,0.0,89.64,0.0,5602.3,0.0,0.0,14758.19,50593.79,8.08,9.55,17.62
test_numjobs-bw=22_read.json,numjobs-bw,read,64k,22,133.88,0.0,8367.46,0.0,10354.53,49545.22,0.0,0.0,2.24,13.64,15.88
test_numjobs-bw=22_write.json,numjobs-bw,write,64k,22,0.0,89.96,0.0,5622.55,0.0,0.0,15405.23,50593.79,7.65,9.12,16.77
test_numjobs-bw=23_read.json,numjobs-bw,read,64k,23,129.99,0.0,8124.47,0.0,11150.48,50069.5,0.0,0.0,1.96,13.21,15.17
test_numjobs-bw=23_write.json,numjobs-bw,write,64k,23,0.0,89.31,0.0,5581.66,0.0,0.0,16220.4,50593.79,7.33,8.83,16.16
test_numjobs-bw=24_read.json,numjobs-bw,read,64k,24,129.91,0.0,8119.11,0.0,11639.93,53739.52,0.0,0.0,2.0,12.47,14.47
test_numjobs-bw=24_write.json,numjobs-bw,write,64k,24,0.0,88.68,0.0,5542.78,0.0,0.0,17046.13,54263.81,7.06,8.42,15.48
test_numjobs-bw=25_read.json,numjobs-bw,read,64k,25,128.74,0.0,8046.23,0.0,12230.26,53739.52,0.0,0.0,1.91,12.22,14.13
test_numjobs-bw=25_write.json,numjobs-bw,write,64k,25,0.0,88.26,0.0,5515.99,0.0,0.0,17839.69,54788.1,6.64,8.1,14.74
test_numjobs-bw=26_read.json,numjobs-bw,read,64k,26,127.75,0.0,7984.18,0.0,12820.41,53739.52,0.0,0.0,1.82,11.57,13.39
test_numjobs-bw=26_write.json,numjobs-bw,write,64k,26,0.0,87.93,0.0,5495.59,0.0,0.0,18624.01,54788.1,6.36,7.72,14.08
test_numjobs-bw=27_read.json,numjobs-bw,read,64k,27,128.44,0.0,8027.42,0.0,13242.59,57409.54,0.0,0.0,1.83,11.06,12.89
test_numjobs-bw=27_write.json,numjobs-bw,write,64k,27,0.0,88.36,0.0,5522.6,0.0,0.0,19240.73,50593.79,6.21,7.66,13.87
test_numjobs-bw=28_read.json,numjobs-bw,read,64k,28,128.2,0.0,8012.47,0.0,13760.17,59506.69,0.0,0.0,1.77,10.67,12.43
test_numjobs-bw=28_write.json,numjobs-bw,write,64k,28,0.0,87.73,0.0,5483.39,0.0,0.0,20098.7,58982.4,6.03,7.24,13.26
test_numjobs-bw=29_read.json,numjobs-bw,read,64k,29,129.37,0.0,8085.57,0.0,14121.37,65273.86,0.0,0.0,1.7,10.31,12.02
test_numjobs-bw=29_write.json,numjobs-bw,write,64k,29,0.0,87.84,0.0,5489.97,0.0,0.0,20792.65,54788.1,5.62,6.98,12.6
test_numjobs-bw=30_read.json,numjobs-bw,read,64k,30,129.1,0.0,8068.46,0.0,14637.83,65798.14,0.0,0.0,1.65,10.05,11.71
test_numjobs-bw=30_write.json,numjobs-bw,write,64k,30,0.0,87.38,0.0,5461.48,0.0,0.0,21609.45,61079.55,5.58,6.66,12.24
test_numjobs-bw=31_read.json,numjobs-bw,read,64k,31,127.53,0.0,7970.77,0.0,15317.76,65798.14,0.0,0.0,1.52,9.71,11.22
test_numjobs-bw=31_write.json,numjobs-bw,write,64k,31,0.0,87.68,0.0,5479.99,0.0,0.0,22269.97,55836.67,5.37,6.7,12.06
test_numjobs-bw=32_read.json,numjobs-bw,read,64k,32,126.95,0.0,7934.49,0.0,15880.04,69730.3,0.0,0.0,1.54,9.45,11.0
test_numjobs-bw=32_write.json,numjobs-bw,write,64k,32,0.0,87.4,0.0,5462.56,0.0,0.0,23058.19,66322.43,5.23,6.38,11.61
test_numjobs-bw=33_read.json,numjobs-bw,read,64k,33,129.25,0.0,8077.83,0.0,16084.83,72876.03,0.0,0.0,1.44,9.14,10.58
test_numjobs-bw=33_write.json,numjobs-bw,write,64k,33,0.0,87.59,0.0,5474.6,0.0,0.0,23730.67,66846.72,5.1,6.18,11.28
test_numjobs-bw=34_read.json,numjobs-bw,read,64k,34,126.48,0.0,7904.78,0.0,16928.1,73924.61,0.0,0.0,1.36,8.95,10.3
